dept_name,emp_no,first_name,last_name,gender,birth_date,"years of service","Salaries in 2000"
Development,10001,Georgi,Facello,M,1953-09-02,14.5260,84917
Production,10004,Chirstian,Koblick,M,1954-05-01,14.0932,69722
"Human Resources",10005,Kyoichi,Maliniak,M,1955-01-21,11.3096,90531
Development,10006,Anneke,Preusig,F,1953-04-20,11.5890,58299
"Quality Management",10009,Sumant,Peac,F,1952-04-19,15.8767,90668
Development,10014,Berni,Genin,M,1956-02-12,13.8192,56937
Production,10018,Kazuhide,Peha,F,1954-06-19,13.7562,153914
Production,10020,Mayuko,Warwick,M,1952-12-24,9.9370,43800
Development,10023,Bojan,Montemayor,F,1953-09-29,11.0466,47883
Production,10029,Otmar,Herbst,M,1956-12-13,15.1233,152134
Production,10035,Alain,Chappelet,M,1953-02-08,12.3288,65332
Production,10047,Zvonko,Nyanchama,M,1952-06-29,11.7616,77149
Sales,10053,Sanjiv,Zschoche,F,1954-09-13,14.9151,77425
Marketing,10058,Berhard,McFarlin,M,1954-10-01,13.7288,71438
Finance,10059,Alejandro,McAlpine,F,1953-09-19,9.5233,90380
Production,10063,Gino,Leonhardt,F,1952-08-06,11.7397,69354
Development,10066,Kwee,Schusler,M,1952-11-13,14.8548,99199
"Quality Management",10067,Claudi,Stavenow,M,1953-01-07,13.8384,75732
Development,10070,Reuven,Garigliano,M,1955-08-20,15.2247,181380
Development,10072,Hironoby,Sidou,F,1952-05-15,12.4548,62174
Development,10074,Mokhtar,Bernatsky,F,1955-08-28,10.3918,77625
Development,10076,Erez,Ritzmann,F,1952-06-13,15.4904,57418
Sales,10088,Jungsoon,Syrzycki,F,1954-02-25,12.3370,182592
Production,10096,Jayson,Mandell,M,1954-09-16,10.9699,61395
Research,10097,Remzi,Waschkowski,M,1952-02-27,10.3014,65841
Sales,10099,Valter,Sullins,F,1956-05-25,12.2110,93297
"Human Resources",10100,Hironobu,Haraldson,F,1953-04-21,13.2877,72343
Development,10103,Akemi,Birch,M,1953-11-26,14.0904,70524
Production,10106,Eben,Aingworth,M,1952-08-29,10.0411,80777
Marketing,10108,Lunjin,Giveon,M,1952-04-07,14.2575,80000
"Customer Service",10126,Kayoko,Valtorta,M,1954-08-07,15.3233,74352
Development,10127,Subir,Baja,F,1952-02-24,11.9699,61146
Development,10129,Armond,Peir,M,1955-12-02,15.0685,48565
